年龄,性别,婚姻状况,教育程度,月收入状况（退休金、养老金等总和）,每次旅居养老的预算范围,年出游次数(次),次出游时长(天),自理状况,我的月收入水平很高
87,2,2,3,576,1,1,2,5,4
89,2,5,2,3576,3,0,1,3,4
88,1,2,4,7205,6,5,2,5,4
69,2,2,3,4895,2,5,3,3,4
88,1,2,1,5961,3,5,2,3,5
87,2,2,2,5664,3,2,2,4,3
77,1,2,3,6840,2,4,3,4,5
86,1,2,3,9887,2,5,3,4,5
68,1,4,2,5966,4,1,2,5,4
74,2,5,2,4306,4,2,2,5,4
73,1,3,2,2403,4,2,2,5,4
66,2,5,2,4272,4,2,2,5,4
68,2,5,2,4741,4,2,2,5,4
70,2,4,2,3499,4,2,2,5,4
89,1,1,1,3055,2,4,2,4,4
86,1,2,1,1548,2,1,2,4,3
88,1,2,4,5095,3,1,1,5,4
73,2,2,2,330,2,1,2,4,3
66,1,2,3,4326,3,5,2,5,4
69,2,5,1,3556,2,4,2,5,5
86,2,2,2,7943,4,5,2,5,4
67,2,2,3,10557,5,1,3,5,4
73,1,2,3,6592,3,1,3,4,5
87,1,2,4,9984,5,1,2,5,2
89,2,2,4,3310,2,4,2,5,4
71,2,2,2,2694,3,2,2,4,4
87,1,2,2,7596,3,1,2,4,5
68,1,3,1,7605,3,7,3,3,5
66,1,2,3,7459,4,4,2,5,5
87,1,2,3,8508,5,4,2,5,4
88,2,2,3,3983,2,4,2,4,5
86,1,2,3,3480,2,4,2,4,4
76,1,3,3,7824,2,4,4,2,3
72,1,5,2,356,1,1,1,4,1
89,2,2,3,6350,4,1,2,5,5
89,2,2,2,3346,2,1,2,5,4
87,1,2,2,1243,1,2,1,3,2
89,1,2,2,5388,2,2,2,5,3
87,1,2,1,1905,2,5,3,4,3
89,2,5,1,1027,2,1,2,3,2
86,1,2,4,4171,3,1,2,5,3
89,1,2,3,2030,2,2,1,3,3
88,1,2,2,901,1,0,1,5,4
67,1,2,2,2431,2,2,2,4,2
88,1,2,3,1904,2,1,1,3,4
78,2,2,3,7425,4,1,3,3,4
86,2,5,2,5730,2,2,1,4,3
66,1,2,4,5354,4,4,3,5,3
71,1,2,1,2861,2,4,3,4,4
71,1,2,4,8693,4,2,2,4,4
86,1,3,2,7863,3,5,2,4,5
89,2,2,2,5996,4,1,3,2,5
76,2,2,1,3507,4,1,1,3,5
74,1,3,2,2504,1,2,2,5,4
68,1,2,2,3534,3,5,2,5,4
69,1,2,3,6600,3,5,2,5,5
86,2,5,3,5277,5,2,3,5,4
89,1,2,3,1493,1,2,2,3,3
88,1,2,3,6915,3,2,3,4,4
68,2,2,3,6193,5,11,3,5,5
66,1,2,3,5248,3,4,1,5,5
88,2,2,3,9110,6,5,2,5,4
79,1,2,2,3535,5,2,2,5,5
77,1,2,4,6303,4,4,3,3,3
71,2,2,2,3668,2,5,2,5,5
86,1,2,4,5512,6,4,2,2,4
87,1,2,3,2758,3,4,2,5,4
89,2,2,3,5504,2,4,3,5,5
88,1,2,1,2594,4,2,3,3,5
77,1,5,1,5820,3,1,1,4,3
89,1,2,4,5396,4,5,2,4,4
87,1,2,3,7282,3,2,2,4,5
79,1,2,3,4693,2,5,1,5,5
88,2,2,3,7475,4,1,2,5,5
87,1,2,3,4312,2,5,3,2,5
69,1,2,2,2844,2,5,3,4,5
78,1,3,3,2345,4,2,2,4,4
67,1,2,3,7445,3,7,2,4,4
70,1,1,3,7784,4,5,4,3,4
70,1,2,2,4640,3,1,3,5,4
67,1,2,2,3748,2,2,2,4,4
77,1,5,2,6203,4,5,2,4,4
67,2,2,4,3508,2,2,3,5,5
86,2,1,1,370,1,0,1,1,1
88,1,3,3,1960,3,0,4,3,3
66,1,2,2,4700,4,13,3,4,4
87,1,2,1,8694,5,4,4,4,5
86,1,2,3,1405,2,2,2,4,4
74,2,2,2,3843,3,1,3,4,2
89,1,2,1,2770,2,2,2,4,2
89,1,1,1,2077,4,11,2,1,1
78,1,2,2,2665,3,13,2,5,3
66,1,5,2,2126,2,2,3,5,3
86,1,2,4,2160,3,2,3,4,4
73,2,2,2,1234,2,1,2,4,2
73,1,2,3,4339,2,8,2,4,5
79,1,2,3,5127,3,1,2,4,4
87,2,2,3,7053,3,8,3,5,5
86,1,2,1,492,1,1,1,3,2
86,1,2,3,3197,4,2,3,3,4
71,1,2,2,4533,2,2,2,4,4
